target,number_of_steps,sascore,scscore,syba,MolWt,MolLogP,NumHAccept,NumHDonors
CCS(=O)(=O)Nc1ccc(NC(=O)CCCn2cccc2)cc1,1,2.159256459364366,3.1962858229519417,156.662692940526,335.429,2.6686000000000014,4,2
O=C(COC(=O)c1ccc(F)c(F)c1)Nc1ccc(F)cc1Cl,1,1.8176738389079008,2.670563952863302,146.04880885499924,343.688,3.5528000000000013,3,1
C=CCN(CC(=O)O)C(=O)c1ccc(NC(N)=O)cc1,4,2.085851692827335,2.843065577926685,76.97926868620799,277.28,0.8899999999999998,3,3
CN(C)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(C(F)(F)F)cc1,3,2.045998720232891,2.8227053420149204,134.84193319531133,386.757,4.671500000000003,3,1
COc1ccc(NS(=O)(=O)c2cc(F)c(F)c(F)c2)cc1,3,1.89567438966294,2.338246344456368,96.25246218636688,317.28799999999995,2.9133000000000004,3,1
COCCNCc1ccc(N2CCC(COC)CC2)cc1,2,1.996108185375423,3.5392602598285525,86.4502852337247,292.42299999999994,2.2854,4,1
O=C(O)Cn1cc(C(=O)NCc2ccccc2F)nn1,2,2.0919105756112177,3.427225181720288,96.92238523388752,278.243,0.4317999999999996,5,2
O=C(O)c1ccc(Nc2ccccc2C(=O)O)cc1,3,1.5598024994026003,2.1868219468617687,44.932607684419935,257.245,2.826600000000001,3,3
O=C(O)CCN(C(=O)c1ccccc1F)C1CCOCC1,3,2.1577077664556388,3.186142585627811,71.26177278209835,295.3100000000001,1.9216,3,1
COC(=O)c1ccc(OCC(=O)c2cccc(OC)c2)cc1,1,1.6269948212066083,2.0594506010959783,141.2305679264301,300.31,2.743500000000001,5,0
O=C(CC1CCCC1)NCc1ccc(F)cc1,1,1.6590176022487206,2.840864550124276,112.86457202267952,235.302,3.0222000000000016,1,1
CCOc1ccc(C(=O)Nc2cccc(CCO)c2)cc1OCC,1,1.792376016659702,3.0138859486769003,176.60514715160585,329.3960000000001,3.271100000000001,4,2
Cc1cc(C)c(C#N)c(SCC(=O)NCc2ccccc2F)n1,1,2.171248426819988,3.412943910184757,151.03790049253126,329.4,3.117720000000001,4,1
Oc1c(Cc2ccc3c(c2)OCO3)ccc2ccccc12,2,2.0004436204321703,3.114540116110053,79.09635845446157,278.307,3.864900000000003,3,1
COCC(=O)N1CCN(C(=O)c2csc(CN)n2)CC1,4,2.268110300885944,3.644759183079694,85.8371284282905,298.3680000000001,-0.4673999999999989,6,1
Cc1cccc2nc3c(C(=O)NCCN(C)C)cccc3nc12,7,2.151153264098093,3.32880409648402,67.18635588164334,308.38500000000005,2.3828200000000006,4,1
CC(=O)NCCNc1cc(C)nc2ccc([N+](=O)[O-])cc12,1,2.209842824676201,3.106132382155576,90.40482164106314,288.307,1.9994199999999995,5,2
O=C(Nc1cccc(Br)c1)c1cc2ccccc2o1,1,1.7584601323357043,2.3790331044131614,129.36533346838726,316.15400000000005,4.447600000000002,2,1
Cc1ccc2cccc(S(=O)(=O)N3CCCc4ccccc43)c2n1,2,2.173748523053563,3.4192182323387987,127.34012105079772,338.432,3.684720000000003,3,0
O=C(O)CCCCNC(=O)COc1ccc(F)cc1Br,2,1.8710229282585704,3.064507066229033,121.6612946960748,348.168,2.3381,3,2
COC1(C(=O)NCCCCC(=O)OCc2ccccc2)CCCC1,1,2.267621432752561,2.6064104135054427,105.28045425662252,333.4280000000001,2.9755000000000003,4,1
CCOC(=O)CCCNCc1nnnn1-c1ccccc1,1,2.0765656885280084,2.745165782217324,108.90495522473924,289.339,1.095199999999999,7,1
O=C(c1ccc(Cl)cc1)N1CCN(Cc2ccc(-n3ccnc3)cc2)CC1,1,1.9789997690434744,4.131797767483313,181.14019565332484,380.8790000000001,3.4837000000000025,4,0
COc1ccc(C(=O)O)c(Nc2ccc(C)cc2)c1,1,1.6340492338002797,2.3932834013950286,65.94097265364128,257.289,3.4454200000000013,3,2
CNc1c(F)cccc1C(=O)NCc1c(C)nn(C)c1C,2,2.2086606244807534,3.7387620697281054,99.9906835465858,290.34200000000004,2.14774,4,2
Cc1csc(NC(=O)CS(=O)(=O)Cc2ccccc2)n1,1,2.0739031580288003,2.960574423633936,126.61606001870756,310.4,2.00502,5,1
Cc1cc(N2CCCCC2)nc(SCC(=O)c2ccccc2)n1,3,2.0329879934101136,2.929462321279208,119.4581917006499,327.45300000000003,3.750320000000002,5,0
O=C(NCCCOCCc1ccccc1)Nc1ncccc1F,2,2.050777201217233,3.1332872175560684,153.93677034909905,317.36400000000003,2.991600000000001,3,2
CCOc1cccc(CNCc2cnn(CCO)c2)c1,2,2.099781312632817,3.571055562484977,114.3466434635066,275.352,1.5638999999999998,5,2
COc1ccc(CC(=O)Nc2cn(C)cn2)cc1,1,1.9924832992950807,2.899901250537661,99.49467527314434,245.282,1.6099,4,1
COc1cc(CNCc2coc(-c3ccc(F)cc3)n2)cc(OC)c1OC,1,2.186764323476384,4.072326298958487,129.02905628053594,372.3960000000001,3.796300000000003,6,1
COc1ccc(C(=O)Nc2cccc(/C=C/c3nc(O)c4ccccc4n3)c2)cc1,3,2.214863422658615,3.688592546629889,153.68013241446928,397.4340000000001,4.766700000000004,5,2
NCCCCCCNCc1coc(-c2ccccc2)n1,3,2.094413318207604,3.7713371864275183,60.20287080507617,273.38,2.9503000000000013,4,2
NC(=O)c1ccccc1Nc1ccnc(Oc2ccccc2)c1,2,1.938412562870504,3.122481228473251,114.29218769451464,305.337,3.716400000000002,4,2
